Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,2,h,1480000,S,Biggin,2016-12-03 00:00:00,2.5,3067,2,1,1,202,Yarra,-37.7996,144.9984,Northern Metropolitan,4019
Abbotsford,2,h,1035000,S,Biggin,2016-02-04 00:00:00,2.5,3067,2,1,0,156,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
Abbotsford,3,h,1465000,SP,Biggin,2017-03-04 00:00:00,2.5,3067,3,2,0,134,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
Abbotsford,3,h,850000,PI,Biggin,2017-03-04 00:00:00,2.5,3067,3,2,1,94,Yarra,-37.7969,144.9969,Northern Metropolitan,4019
Abbotsford,4,h,1600000,VB,Nelson,2016-06-04 00:00:00,2.5,3067,3,1,2,120,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
Abbotsford,2,h,941000,S,Jellis,2016-05-07 00:00:00,2.5,3067,2,1,0,181,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
Abbotsford,3,h,1876000,S,Nelson,2016-05-07 00:00:00,2.5,3067,4,2,0,245,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
Abbotsford,2,h,1636000,S,Nelson,2016-10-08 00:00:00,2.5,3067,2,1,2,256,Yarra,-37.806,144.9954,Northern Metropolitan,4019
Abbotsford,1,u,300000,S,Biggin,2016-10-08 00:00:00,2.5,3067,1,1,1,0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019
Abbotsford,2,h,1097000,S,Biggin,2016-10-08 00:00:00,2.5,3067,3,1,2,220,Yarra,-37.801,144.9989,Northern Metropolitan,4019
Abbotsford,2,u,700000,VB,Jellis,2016-11-12 00:00:00,2.5,3067,2,2,1,0,Yarra,-37.811,145.0067,Northern Metropolitan,4019
Abbotsford,3,h,1350000,VB,Nelson,2016-11-12 00:00:00,2.5,3067,3,2,2,214,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
Abbotsford,2,u,750000,S,Biggin,2016-11-12 00:00:00,2.5,3067,2,2,1,0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,2,h,1172500,S,Biggin,2016-08-13 00:00:00,2.5,3067,2,1,1,195,Yarra,-37.8084,144.9973,Northern Metropolitan,4019
Abbotsford,1,u,441000,SP,Greg,2016-05-14 00:00:00,2.5,3067,1,1,1,0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,2,h,1310000,S,Jellis,2016-10-15 00:00:00,2.5,3067,2,1,2,238,Yarra,-37.809,144.9976,Northern Metropolitan,4019
